id,cover,name,rating
1556,//images.igdb.com/igdb/image/upload/t_thumb/co1z57.jpg,Pokémon HeartGold,1
1559,//images.igdb.com/igdb/image/upload/t_thumb/co1ziq.jpg,Pokémon FireRed,1
1560,//images.igdb.com/igdb/image/upload/t_thumb/co1zht.jpg,Pokémon Diamond,1
1562,//images.igdb.com/igdb/image/upload/t_thumb/kvbprpoprnvjw6qjmei4.jpg,4x4 Evolution 2,1
1571,//images.igdb.com/igdb/image/upload/t_thumb/co2f9a.jpg,Sega Rally Championship,1
1594,//images.igdb.com/igdb/image/upload/t_thumb/co1pd3.jpg,Gran Turismo,1
1597,//images.igdb.com/igdb/image/upload/t_thumb/co20af.jpg,Gran Turismo 2,1
1598,//images.igdb.com/igdb/image/upload/t_thumb/co20bg.jpg,Gran Turismo HD Concept,1
1599,//images.igdb.com/igdb/image/upload/t_thumb/co20bj.jpg,Gran Turismo 5 Prologue,1
1600,//images.igdb.com/igdb/image/upload/t_thumb/co20ae.jpg,Gran Turismo 3: A-Spec,1
1601,//images.igdb.com/igdb/image/upload/t_thumb/co1wa7.jpg,Gran Turismo 4,1
1602,//images.igdb.com/igdb/image/upload/t_thumb/co20bm.jpg,Gran Turismo 5,1
1604,//images.igdb.com/igdb/image/upload/t_thumb/co1ovo.jpg,Gran Turismo 4 Prologue,1
1707,//images.igdb.com/igdb/image/upload/t_thumb/co1wnv.jpg,WarioWare: Snapped!,1
1747,//images.igdb.com/igdb/image/upload/t_thumb/co2033.jpg,Mega Man X7,1
1759,//images.igdb.com/igdb/image/upload/t_thumb/co203d.jpg,Mega Man Battle Network 4 Red Sun,1
1760,//images.igdb.com/igdb/image/upload/t_thumb/co203e.jpg,Mega Man Battle Network 4 Blue Moon,1
1761,//images.igdb.com/igdb/image/upload/t_thumb/co204j.jpg,Mega Man Battle Network 5: Team Protoman,1
1762,//images.igdb.com/igdb/image/upload/t_thumb/co204i.jpg,Mega Man Battle Network 5: Team Colonel,1
1764,//images.igdb.com/igdb/image/upload/t_thumb/co204d.jpg,Mega Man Battle Network 6: Cybeast Falzar,1
1765,//images.igdb.com/igdb/image/upload/t_thumb/co204c.jpg,Mega Man Battle Network 6: Cybeast Gregar,1
1767,//images.igdb.com/igdb/image/upload/t_thumb/co203g.jpg,Mega Man Battle Chip Challenge,1
1799,//images.igdb.com/igdb/image/upload/t_thumb/co1p0p.jpg,Sly 2: Band of Thieves,1
1933,//images.igdb.com/igdb/image/upload/t_thumb/aquhyjspekxn7m5fa31s.jpg,Gobliiins 4,1
1940,//images.igdb.com/igdb/image/upload/t_thumb/co1nlk.jpg,Driveclub,1
1966,//images.igdb.com/igdb/image/upload/t_thumb/co1oyp.jpg,Rayman 3: Hoodlum Havoc,1
1990,//images.igdb.com/igdb/image/upload/t_thumb/co1n43.jpg,VVVVVV,1
1991,//images.igdb.com/igdb/image/upload/t_thumb/co1rd9.jpg,Fez,1
1994,//images.igdb.com/igdb/image/upload/t_thumb/vutcll4ddnflavelzdjm.jpg,Actua Soccer 3,1
2109,//images.igdb.com/igdb/image/upload/t_thumb/rgbnby0hsennxbflob6j.jpg,A Boy and His Blob,1
2131,//images.igdb.com/igdb/image/upload/t_thumb/co1nms.jpg,Forza Motorsport 5,1
2133,//images.igdb.com/igdb/image/upload/t_thumb/co2ipc.jpg,Super Stardust HD,1
2138,//images.igdb.com/igdb/image/upload/t_thumb/co2h9r.jpg,Grid 2,1
2148,//images.igdb.com/igdb/image/upload/t_thumb/co1zsj.jpg,Banjo-Kazooie,1
2159,//images.igdb.com/igdb/image/upload/t_thumb/co2cz9.jpg,Race Driver: GRID,1
2171,//images.igdb.com/igdb/image/upload/t_thumb/co21ts.jpg,New Super Mario Bros. U,1
2173,//images.igdb.com/igdb/image/upload/t_thumb/co21tt.jpg,New Super Luigi U,1
2178,//images.igdb.com/igdb/image/upload/t_thumb/co21tj.jpg,New Super Mario Bros. Wii,1
2180,//images.igdb.com/igdb/image/upload/t_thumb/co21vd.jpg,Super Mario 3D World,1
2183,//images.igdb.com/igdb/image/upload/t_thumb/co214e.jpg,Mario Kart Wii,1
2184,//images.igdb.com/igdb/image/upload/t_thumb/co1w9w.jpg,Kirby's Epic Yarn,1
2185,//images.igdb.com/igdb/image/upload/t_thumb/co2cnd.jpg,Wii Play,1
2186,//images.igdb.com/igdb/image/upload/t_thumb/co2mb5.jpg,Wii Fit,1
2187,//images.igdb.com/igdb/image/upload/t_thumb/co2cnh.jpg,Wii Fit Plus,1
2189,//images.igdb.com/igdb/image/upload/t_thumb/co2cnj.jpg,Wii Party,1
2191,//images.igdb.com/igdb/image/upload/t_thumb/co21rp.jpg,Super Paper Mario,1
2193,//images.igdb.com/igdb/image/upload/t_thumb/co220d.jpg,Mario Party 8,1
2212,//images.igdb.com/igdb/image/upload/t_thumb/sinlkg75uukdnfxa1myg.jpg,MLB The Show 16,1
2215,//images.igdb.com/igdb/image/upload/t_thumb/cx0ql4l0l3ii307io7b6.jpg,EyeToy Play - PomPom Party,1
2239,//images.igdb.com/igdb/image/upload/t_thumb/co2eph.jpg,Pikmin,1
2259,//images.igdb.com/igdb/image/upload/t_thumb/m2ldmqv9ucfwumbtevym.jpg,Boom Blox,1
2260,//images.igdb.com/igdb/image/upload/t_thumb/co2hqc.jpg,Boom Blox Bash Party,1
2267,//images.igdb.com/igdb/image/upload/t_thumb/co1zvu.jpg,Sonic Colors,1
2277,//images.igdb.com/igdb/image/upload/t_thumb/co1oyq.jpg,Rayman: Raving Rabbids,1
2324,//images.igdb.com/igdb/image/upload/t_thumb/co1yye.jpg,Pokémon Snap,1
2328,//images.igdb.com/igdb/image/upload/t_thumb/co21yt.jpg,Mario Party 2,1
2331,//images.igdb.com/igdb/image/upload/t_thumb/co2jxf.jpg,Mario Party 5,1
2332,//images.igdb.com/igdb/image/upload/t_thumb/co21w8.jpg,Super Mario Kart,1
2333,//images.igdb.com/igdb/image/upload/t_thumb/co214o.jpg,Mario Party 6,1
2334,//images.igdb.com/igdb/image/upload/t_thumb/co21z3.jpg,Mario Party 7,1
2336,//images.igdb.com/igdb/image/upload/t_thumb/co2241.jpg,Mario Party 9,1
2345,//images.igdb.com/igdb/image/upload/t_thumb/co214h.jpg,Mario Kart DS,1
2349,//images.igdb.com/igdb/image/upload/t_thumb/co2146.jpg,Mario Kart 7,1
2350,//images.igdb.com/igdb/image/upload/t_thumb/co213q.jpg,Mario Kart 8,1
2351,//images.igdb.com/igdb/image/upload/t_thumb/co1of8.jpg,Toki Tori 2,1
2370,//images.igdb.com/igdb/image/upload/t_thumb/co25vi.jpg,Puzzle Quest: Challenge of the Warlords,1
2451,//images.igdb.com/igdb/image/upload/t_thumb/co1v1m.jpg,TrackMania United Forever,1
2484,//images.igdb.com/igdb/image/upload/t_thumb/co1ug9.jpg,Pro Evolution Soccer 6,1
2485,//images.igdb.com/igdb/image/upload/t_thumb/co1wr1.jpg,Luigi's Mansion,1
2541,//images.igdb.com/igdb/image/upload/t_thumb/co2lcq.jpg,Rockstar Games presents Table Tennis,1
2590,//images.igdb.com/igdb/image/upload/t_thumb/puqiohl4ijl8fhyvvbqr.jpg,Thomas & Friends: A Day at the Races,1
2626,//images.igdb.com/igdb/image/upload/t_thumb/co2nhp.jpg,Burnout Revenge,1
2630,//images.igdb.com/igdb/image/upload/t_thumb/co20eq.jpg,Bubble Bobble,1
2636,//images.igdb.com/igdb/image/upload/t_thumb/co2c0z.jpg,Dig Dug,1
2637,//images.igdb.com/igdb/image/upload/t_thumb/co1n6o.jpg,de Blob,1
2641,//images.igdb.com/igdb/image/upload/t_thumb/co28o3.jpg,Atari Anthology,1
2643,//images.igdb.com/igdb/image/upload/t_thumb/co1pe5.jpg,Pokémon Channel,1
2647,//images.igdb.com/igdb/image/upload/t_thumb/co1wcp.jpg,Kirby Super Star Ultra,1
2655,//images.igdb.com/igdb/image/upload/t_thumb/co1nyn.jpg,Animal Crossing,1
2657,//images.igdb.com/igdb/image/upload/t_thumb/co22p6.jpg,Kinect Adventures,1
2661,//images.igdb.com/igdb/image/upload/t_thumb/co21kk.jpg,Deca Sports Freedom,1
2664,//images.igdb.com/igdb/image/upload/t_thumb/co1x73.jpg,Just Dance 2,1
2681,//images.igdb.com/igdb/image/upload/t_thumb/co1owm.jpg,LEGO Star Wars: The Video Game,1
2682,//images.igdb.com/igdb/image/upload/t_thumb/co1qrr.jpg,LEGO Star Wars: The Complete Saga,1
2686,//images.igdb.com/igdb/image/upload/t_thumb/co1pek.jpg,Star Fox Adventures,1
2687,//images.igdb.com/igdb/image/upload/t_thumb/co1oan.jpg,Animal Crossing: New Leaf,1
2688,//images.igdb.com/igdb/image/upload/t_thumb/co1ocz.jpg,Animal Crossing: City Folk,1
2704,//images.igdb.com/igdb/image/upload/t_thumb/co1x71.jpg,Just Dance,1
2705,//images.igdb.com/igdb/image/upload/t_thumb/co1x75.jpg,Just Dance 3,1
2706,//images.igdb.com/igdb/image/upload/t_thumb/co1wvp.jpg,Mario & Sonic at the Olympic Games,1
2708,//images.igdb.com/igdb/image/upload/t_thumb/co1zye.jpg,Mario & Sonic at the London 2012 Olympic Games,1
2710,//images.igdb.com/igdb/image/upload/t_thumb/x4r9hc97zh6hetkcfoy1.jpg,Mappy,1
2713,//images.igdb.com/igdb/image/upload/t_thumb/co1wcz.jpg,Kirby 64: The Crystal Shards,1
2723,//images.igdb.com/igdb/image/upload/t_thumb/co1wgj.jpg,Diddy Kong Racing,1
2725,//images.igdb.com/igdb/image/upload/t_thumb/co2ck6.jpg,Pokémon Colosseum,1
2735,//images.igdb.com/igdb/image/upload/t_thumb/co28ch.jpg,Balloon Fight,1
