id,cover,genres,name,rating,cover_big,has_cars
4824,//images.igdb.com/igdb/image/upload/t_thumb/co1ouf.jpg,"['Shooter', 'Racing']",Driver: Parallel Lines,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1ouf.jpg,True
4843,//images.igdb.com/igdb/image/upload/t_thumb/co1rbb.jpg,"['Role-playing (RPG)', 'Adventure']",Kingdom Come: Deliverance,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1rbb.jpg,False
4919,//images.igdb.com/igdb/image/upload/t_thumb/co28bb.jpg,['Shooter'],The House of the Dead: Overkill,5,//images.igdb.com/igdb/image/upload/t_cover_big/co28bb.jpg,False
5139,//images.igdb.com/igdb/image/upload/t_thumb/co1ozp.jpg,"['Shooter', 'Adventure']",Scarface: The World Is Yours,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1ozp.jpg,False
5140,//images.igdb.com/igdb/image/upload/t_thumb/co2e7x.jpg,"['Strategy', 'Turn-based strategy (TBS)', 'Adventure']",Scarface: Money. Power. Respect.,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2e7x.jpg,False
5416,//images.igdb.com/igdb/image/upload/t_thumb/co1vqh.jpg,"['Shooter', 'Racing']",Twisted Metal,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1vqh.jpg,False
5503,//images.igdb.com/igdb/image/upload/t_thumb/co1nh1.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure']",Batman: Arkham Knight,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1nh1.jpg,False
5567,//images.igdb.com/igdb/image/upload/t_thumb/qvkdt6uivr0vooqx3jcr.jpg,"['Shooter', 'Tactical']",Hitman: Sniper Challenge,5,//images.igdb.com/igdb/image/upload/t_cover_big/qvkdt6uivr0vooqx3jcr.jpg,False
5574,//images.igdb.com/igdb/image/upload/t_thumb/co1mpm.jpg,"['Shooter', 'Role-playing (RPG)', 'Adventure']",7 Days to Die,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1mpm.jpg,False
5591,//images.igdb.com/igdb/image/upload/t_thumb/co2ojo.jpg,"['Shooter', 'Role-playing (RPG)', 'Adventure']",Deus Ex: The Fall,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2ojo.jpg,False
